condition,scenario,seed,true_rc,pred_H,pred_R,AC1_H,AC3_H,AC5_H,AC1_R,AC3_R,AC5_R
carts-cpu,5,5005,carts_cpu,carts_lat_99,user-db_mem,False,False,False,False,False,False
carts-cpu,5,6005,carts_cpu,carts_lat_99,shipping_lat_50,False,False,False,False,False,False
carts-cpu,5,7005,carts_cpu,carts_lat_99,catalogue_lat_50,False,False,False,False,False,False
carts-cpu,5,8005,carts_cpu,carts_lat_99,user-db_mem,False,False,False,False,False,False
carts-cpu,5,9005,carts_cpu,carts_lat_99,payment_mem,False,False,False,False,False,False
catalogue-cpu,1,1,catalogue_cpu,carts_lat_99,carts_lod,False,False,True,False,False,False
catalogue-cpu,1,1001,catalogue_cpu,carts_lat_99,user_mem,False,True,True,False,False,False
catalogue-cpu,1,2001,catalogue_cpu,orders_cpu,shipping_lat_50,False,False,True,False,False,False
catalogue-cpu,1,3001,catalogue_cpu,orders_cpu,carts-db_mem,False,False,True,False,False,False
catalogue-cpu,1,4001,catalogue_cpu,orders_cpu,carts-db_mem,False,False,True,False,False,False
catalogue-cpu,1,5001,catalogue_cpu,orders_cpu,shipping_mem,False,False,True,False,False,False
catalogue-cpu,1,6001,catalogue_cpu,carts_lat_99,orders_mem,False,False,True,False,False,False
catalogue-cpu,1,7001,catalogue_cpu,carts_lat_99,shipping_lat_99,False,True,True,False,False,False
catalogue-cpu,1,8001,catalogue_cpu,orders_cpu,shipping_lat_90,False,False,True,False,False,False
catalogue-cpu,1,9001,catalogue_cpu,orders_cpu,shipping_mem,False,False,True,False,False,False
catalogue-cpu,2,2,catalogue_cpu,catalogue_cpu,payment_mem,True,True,True,False,False,False
catalogue-cpu,2,1002,catalogue_cpu,catalogue_cpu,carts_mem,True,True,True,False,False,False
catalogue-cpu,2,2002,catalogue_cpu,catalogue_cpu,rabbitmq_mem,True,True,True,False,False,False
catalogue-cpu,2,3002,catalogue_cpu,catalogue_cpu,queue-master_mem,True,True,True,False,False,False
catalogue-cpu,2,4002,catalogue_cpu,catalogue_cpu,orders-db_mem,True,True,True,False,True,True
catalogue-cpu,2,5002,catalogue_cpu,catalogue_cpu,payment_cpu,True,True,True,False,False,False
catalogue-cpu,2,6002,catalogue_cpu,catalogue_cpu,shipping_lat_50,True,True,True,False,False,False
catalogue-cpu,2,7002,catalogue_cpu,catalogue_cpu,payment_cpu,True,True,True,False,False,False
catalogue-cpu,2,8002,catalogue_cpu,catalogue_cpu,orders-db_cpu,True,True,True,False,False,False
catalogue-cpu,2,9002,catalogue_cpu,catalogue_cpu,catalogue_lat_50,True,True,True,False,False,False
catalogue-cpu,3,3,catalogue_cpu,catalogue_cpu,shipping_lat_90,True,True,True,False,False,False
catalogue-cpu,3,1003,catalogue_cpu,catalogue_cpu,catalogue_lat_99,True,True,True,False,False,False
catalogue-cpu,3,2003,catalogue_cpu,catalogue_cpu,catalogue_lat_50,True,True,True,False,False,False
catalogue-cpu,3,3003,catalogue_cpu,catalogue_cpu,catalogue_lod,True,True,True,False,False,False
catalogue-cpu,3,4003,catalogue_cpu,catalogue_cpu,user_mem,True,True,True,False,False,False
catalogue-cpu,3,5003,catalogue_cpu,catalogue_cpu,user-db_mem,True,True,True,False,False,False
catalogue-cpu,3,6003,catalogue_cpu,catalogue_cpu,user-db_mem,True,True,True,False,False,False
catalogue-cpu,3,7003,catalogue_cpu,catalogue_cpu,front-end_cpu,True,True,True,False,False,False
catalogue-cpu,3,8003,catalogue_cpu,catalogue_cpu,rabbitmq_mem,True,True,True,False,False,False
catalogue-cpu,3,9003,catalogue_cpu,catalogue_cpu,shipping_lat_99,True,True,True,False,False,False
catalogue-cpu,4,4,catalogue_cpu,user_cpu,payment_cpu,False,True,True,False,False,False
catalogue-cpu,4,1004,catalogue_cpu,user_cpu,catalogue-db_cpu,False,True,True,False,False,False
catalogue-cpu,4,2004,catalogue_cpu,catalogue_cpu,shipping_cpu,True,True,True,False,False,False
catalogue-cpu,4,3004,catalogue_cpu,user_cpu,orders_mem,False,True,True,False,False,False
catalogue-cpu,4,4004,catalogue_cpu,user_cpu,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,4,5004,catalogue_cpu,user_cpu,catalogue-db_mem,False,True,True,False,False,False
catalogue-cpu,4,6004,catalogue_cpu,user_cpu,queue-master_mem,False,True,True,False,False,False
catalogue-cpu,4,7004,catalogue_cpu,user_cpu,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,4,8004,catalogue_cpu,user_cpu,shipping_mem,False,True,True,False,False,False
catalogue-cpu,4,9004,catalogue_cpu,catalogue_cpu,shipping_lat_99,True,True,True,False,False,False
catalogue-cpu,5,5,catalogue_cpu,carts_lat_99,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,5,1005,catalogue_cpu,orders_cpu,carts_mem,False,True,True,False,False,False
catalogue-cpu,5,2005,catalogue_cpu,carts_lat_99,rabbitmq_mem,False,True,True,False,False,False
catalogue-cpu,5,3005,catalogue_cpu,carts_lat_99,orders-db_cpu,False,True,True,False,False,False
catalogue-cpu,5,4005,catalogue_cpu,carts_lat_99,carts_mem,False,True,True,False,False,False
catalogue-cpu,5,5005,catalogue_cpu,carts_lat_99,catalogue_lat_90,False,True,True,False,False,False
catalogue-cpu,5,6005,catalogue_cpu,carts_lat_99,orders-db_mem,False,True,True,False,False,False
catalogue-cpu,5,7005,catalogue_cpu,carts_lat_99,shipping_mem,False,True,True,False,False,False
catalogue-cpu,5,8005,catalogue_cpu,catalogue_cpu,carts-db_mem,True,True,True,False,False,False
catalogue-cpu,5,9005,catalogue_cpu,carts_lat_99,user_mem,False,True,True,False,False,False
orders-cpu,1,1,orders_cpu,carts_lat_50,orders_mem,False,True,True,False,False,False
orders-cpu,1,1001,orders_cpu,carts_lat_50,orders_mem,False,True,True,False,False,False
orders-cpu,1,2001,orders_cpu,carts_lat_50,carts-db_mem,False,True,True,False,False,False
orders-cpu,1,3001,orders_cpu,carts_lat_50,carts_mem,False,True,True,False,False,False
orders-cpu,1,4001,orders_cpu,carts_lat_50,orders-db_mem,False,True,True,False,False,False
orders-cpu,1,5001,orders_cpu,carts_lat_50,catalogue-db_mem,False,True,True,False,False,False
orders-cpu,1,6001,orders_cpu,carts_lat_50,catalogue_lat_90,False,True,True,False,False,False
orders-cpu,1,7001,orders_cpu,carts_lat_50,catalogue_lod,False,True,True,False,False,False
orders-cpu,1,8001,orders_cpu,carts_lat_50,rabbitmq_mem,False,False,True,False,False,False
orders-cpu,1,9001,orders_cpu,carts_lat_50,payment_cpu,False,True,True,False,False,False
orders-cpu,2,2,orders_cpu,orders_cpu,carts_mem,True,True,True,False,False,False
orders-cpu,2,1002,orders_cpu,user_cpu,payment_mem,False,True,True,False,False,False
orders-cpu,2,2002,orders_cpu,orders_cpu,catalogue_mem,True,True,True,False,False,False
orders-cpu,2,3002,orders_cpu,user_cpu,catalogue-db_mem,False,True,True,False,False,False
orders-cpu,2,4002,orders_cpu,orders_cpu,catalogue_lod,True,True,True,False,False,False
orders-cpu,2,5002,orders_cpu,user_cpu,rabbitmq_mem,False,True,True,False,False,False
orders-cpu,2,6002,orders_cpu,orders_cpu,carts-db_mem,True,True,True,False,False,False
orders-cpu,2,7002,orders_cpu,user_cpu,catalogue_lod,False,True,True,False,False,False
orders-cpu,2,8002,orders_cpu,orders_cpu,catalogue_lat_50,True,True,True,False,False,False
orders-cpu,2,9002,orders_cpu,orders_cpu,queue-master_cpu,True,True,True,False,False,False
orders-cpu,3,3,orders_cpu,orders_cpu,catalogue_mem,True,True,True,False,False,False
orders-cpu,3,1003,orders_cpu,orders_cpu,catalogue_lat_99,True,True,True,False,False,False
orders-cpu,3,2003,orders_cpu,carts_lat_50,carts_mem,False,True,True,False,False,False
orders-cpu,3,3003,orders_cpu,orders_cpu,front-end_mem,True,True,True,False,False,False
orders-cpu,3,4003,orders_cpu,orders_cpu,queue-master_cpu,True,True,True,False,False,False
orders-cpu,3,5003,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,3,6003,orders_cpu,carts_lat_50,catalogue-db_cpu,False,True,True,False,False,False
orders-cpu,3,7003,orders_cpu,carts_lat_50,payment_cpu,False,True,True,False,False,False
orders-cpu,3,8003,orders_cpu,orders_cpu,user_mem,True,True,True,False,False,False
orders-cpu,3,9003,orders_cpu,orders_cpu,queue-master_mem,True,True,True,False,False,False
orders-cpu,4,4,orders_cpu,user-db_cpu,catalogue_mem,False,False,True,False,False,False
orders-cpu,4,1004,orders_cpu,user-db_cpu,catalogue_mem,False,False,True,False,False,False
orders-cpu,4,2004,orders_cpu,user-db_cpu,carts_mem,False,True,True,False,False,False
orders-cpu,4,3004,orders_cpu,user-db_cpu,catalogue-db_mem,False,True,True,False,False,False
orders-cpu,4,4004,orders_cpu,user-db_cpu,shipping_mem,False,True,True,False,False,False
orders-cpu,4,5004,orders_cpu,user-db_cpu,catalogue_lat_99,False,True,True,False,False,False
orders-cpu,4,6004,orders_cpu,user-db_cpu,shipping_lat_99,False,True,True,False,False,False
orders-cpu,4,7004,orders_cpu,user-db_cpu,carts_lod,False,True,True,False,False,False
orders-cpu,4,8004,orders_cpu,user-db_cpu,carts-db_mem,False,True,True,False,False,False
orders-cpu,4,9004,orders_cpu,user-db_cpu,shipping_lat_90,False,True,True,False,False,False
orders-cpu,5,5,orders_cpu,shipping_cpu,catalogue_lat_99,False,True,True,False,False,False
orders-cpu,5,1005,orders_cpu,shipping_cpu,carts-db_mem,False,True,True,False,False,False
orders-cpu,5,2005,orders_cpu,shipping_cpu,rabbitmq_mem,False,True,True,False,False,False
orders-cpu,5,3005,orders_cpu,orders_cpu,front-end_mem,True,True,True,False,False,False
orders-cpu,5,4005,orders_cpu,shipping_cpu,shipping_mem,False,True,True,False,False,False
orders-cpu,5,5005,orders_cpu,shipping_cpu,catalogue_lat_50,False,True,True,False,False,False
orders-cpu,5,6005,orders_cpu,shipping_cpu,shipping_lat_99,False,True,True,False,False,False
orders-cpu,5,7005,orders_cpu,shipping_cpu,front-end_mem,False,True,True,False,False,False
orders-cpu,5,8005,orders_cpu,orders_cpu,shipping_lat_99,True,True,True,False,False,False
orders-cpu,5,9005,orders_cpu,shipping_cpu,carts-db_mem,False,True,True,False,False,False
payment-cpu,1,1,payment_cpu,payment_cpu,carts-db_mem,True,True,True,False,False,False
payment-cpu,1,1001,payment_cpu,payment_cpu,shipping_cpu,True,True,True,False,False,False
payment-cpu,1,2001,payment_cpu,payment_cpu,catalogue-db_mem,True,True,True,False,False,False
payment-cpu,1,3001,payment_cpu,payment_cpu,catalogue-db_cpu,True,True,True,False,False,False
payment-cpu,1,4001,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,1,5001,payment_cpu,payment_cpu,user-db_mem,True,True,True,False,False,False
payment-cpu,1,6001,payment_cpu,payment_cpu,shipping_lat_99,True,True,True,False,False,False
payment-cpu,1,7001,payment_cpu,payment_cpu,front-end_mem,True,True,True,False,False,False
payment-cpu,1,8001,payment_cpu,payment_cpu,orders_cpu,True,True,True,False,False,False
payment-cpu,1,9001,payment_cpu,payment_cpu,catalogue_lat_90,True,True,True,False,False,False
payment-cpu,2,2,payment_cpu,payment_cpu,shipping_lat_50,True,True,True,False,False,False
payment-cpu,2,1002,payment_cpu,payment_cpu,orders-db_cpu,True,True,True,False,False,False
payment-cpu,2,2002,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,2,3002,payment_cpu,payment_cpu,shipping_lod,True,True,True,False,False,False
payment-cpu,2,4002,payment_cpu,payment_cpu,user-db_mem,True,True,True,False,False,False
payment-cpu,2,5002,payment_cpu,payment_cpu,catalogue_cpu,True,True,True,False,False,False
payment-cpu,2,6002,payment_cpu,payment_cpu,catalogue_lod,True,True,True,False,False,False
payment-cpu,2,7002,payment_cpu,payment_cpu,catalogue_lat_50,True,True,True,False,False,False
payment-cpu,2,8002,payment_cpu,payment_cpu,carts_lat_90,True,True,True,False,False,False
payment-cpu,2,9002,payment_cpu,payment_cpu,shipping_mem,True,True,True,False,False,False
payment-cpu,3,3,payment_cpu,payment_cpu,shipping_lod,True,True,True,False,False,False
payment-cpu,3,1003,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,3,2003,payment_cpu,payment_cpu,user-db_cpu,True,True,True,False,False,False
payment-cpu,3,3003,payment_cpu,payment_cpu,catalogue_lat_90,True,True,True,False,False,False
payment-cpu,3,4003,payment_cpu,payment_cpu,carts-db_cpu,True,True,True,False,True,True
payment-cpu,3,5003,payment_cpu,payment_cpu,shipping_lat_50,True,True,True,False,False,True
payment-cpu,3,6003,payment_cpu,payment_cpu,rabbitmq_cpu,True,True,True,False,False,False
payment-cpu,3,7003,payment_cpu,payment_cpu,carts_lat_50,True,True,True,False,False,False
payment-cpu,3,8003,payment_cpu,payment_cpu,carts_mem,True,True,True,False,False,False
payment-cpu,3,9003,payment_cpu,payment_cpu,shipping_lat_50,True,True,True,False,False,False
payment-cpu,4,4,payment_cpu,payment_cpu,shipping_cpu,True,True,True,False,False,False
payment-cpu,4,1004,payment_cpu,payment_cpu,catalogue-db_cpu,True,True,True,False,False,False
payment-cpu,4,2004,payment_cpu,payment_cpu,user_mem,True,True,True,False,False,False
payment-cpu,4,3004,payment_cpu,payment_cpu,payment_mem,True,True,True,False,False,False
payment-cpu,4,4004,payment_cpu,payment_cpu,front-end_mem,True,True,True,False,False,False
payment-cpu,4,5004,payment_cpu,payment_cpu,catalogue-db_mem,True,True,True,False,False,False
payment-cpu,4,6004,payment_cpu,payment_cpu,rabbitmq_mem,True,True,True,False,False,False
payment-cpu,4,7004,payment_cpu,payment_cpu,orders_mem,True,True,True,False,False,False
payment-cpu,4,8004,payment_cpu,payment_cpu,shipping_lat_90,True,True,True,False,False,False
payment-cpu,4,9004,payment_cpu,payment_cpu,catalogue_lat_50,True,True,True,False,False,False
payment-cpu,5,5,payment_cpu,carts_lat_99,shipping_cpu,False,True,True,False,False,False
payment-cpu,5,1005,payment_cpu,payment_cpu,carts-db_mem,True,True,True,False,False,False
payment-cpu,5,2005,payment_cpu,carts_lat_99,payment_mem,False,True,True,False,False,False
payment-cpu,5,3005,payment_cpu,carts_lat_99,shipping_lat_99,False,True,True,False,False,False
payment-cpu,5,4005,payment_cpu,carts_lat_99,user-db_mem,False,True,True,False,False,False
payment-cpu,5,5005,payment_cpu,carts_lat_99,shipping_lat_99,False,True,True,False,False,False
payment-cpu,5,6005,payment_cpu,carts_lat_99,user-db_cpu,False,True,True,False,False,False
payment-cpu,5,7005,payment_cpu,carts_lat_99,shipping_mem,False,True,True,False,False,False
payment-cpu,5,8005,payment_cpu,carts_lat_99,user-db_cpu,False,True,True,False,False,False
payment-cpu,5,9005,payment_cpu,payment_cpu,shipping_lat_90,True,True,True,False,False,False
user-cpu,1,1,user_cpu,carts_lat_99,shipping_lat_90,False,False,True,False,False,False
user-cpu,1,1001,user_cpu,carts_lat_99,shipping_cpu,False,True,True,False,False,False
user-cpu,1,2001,user_cpu,carts_lat_99,catalogue_lod,False,True,True,False,False,False
user-cpu,1,3001,user_cpu,carts_lat_99,orders-db_mem,False,True,True,False,False,False
user-cpu,1,4001,user_cpu,carts_lat_99,carts-db_mem,False,True,True,False,False,False
user-cpu,1,5001,user_cpu,carts_lat_99,payment_cpu,False,False,True,False,False,False
user-cpu,1,6001,user_cpu,carts_lat_99,shipping_lat_99,False,True,True,False,False,False
user-cpu,1,7001,user_cpu,carts_lat_99,carts_mem,False,True,True,False,False,False
user-cpu,1,8001,user_cpu,carts_lat_99,carts_mem,False,False,True,False,False,False
user-cpu,1,9001,user_cpu,carts_lat_99,orders-db_mem,False,False,True,False,False,False
user-cpu,2,2,user_cpu,queue-master_cpu,catalogue-db_cpu,False,True,True,False,False,False
user-cpu,2,1002,user_cpu,queue-master_cpu,catalogue_lod,False,True,True,False,False,False
user-cpu,2,2002,user_cpu,queue-master_cpu,payment_cpu,False,True,True,False,False,False
user-cpu,2,3002,user_cpu,queue-master_cpu,carts-db_mem,False,True,True,False,False,False
user-cpu,2,4002,user_cpu,queue-master_cpu,shipping_lat_50,False,True,True,False,False,False
user-cpu,2,5002,user_cpu,queue-master_cpu,catalogue_lat_90,False,True,True,False,False,False
user-cpu,2,6002,user_cpu,queue-master_cpu,catalogue-db_cpu,False,True,True,False,False,False
user-cpu,2,7002,user_cpu,queue-master_cpu,catalogue_lat_50,False,True,True,False,False,False
user-cpu,2,8002,user_cpu,queue-master_cpu,catalogue_lod,False,True,True,False,False,False
user-cpu,2,9002,user_cpu,queue-master_cpu,rabbitmq_mem,False,True,True,False,False,False
user-cpu,3,3,user_cpu,user_cpu,catalogue_lat_50,True,True,True,False,False,False
user-cpu,3,1003,user_cpu,carts_lat_90,catalogue-db_mem,False,True,True,False,False,False
user-cpu,3,2003,user_cpu,carts_lat_90,shipping_lat_99,False,True,True,False,False,False
user-cpu,3,3003,user_cpu,carts_lat_90,catalogue_lat_50,False,True,True,False,False,False
user-cpu,3,4003,user_cpu,carts_lat_90,orders-db_mem,False,True,True,False,False,False
user-cpu,3,5003,user_cpu,carts_lat_90,shipping_lat_90,False,True,True,False,False,False
user-cpu,3,6003,user_cpu,carts_lat_90,shipping_lat_99,False,True,True,False,False,False
user-cpu,3,7003,user_cpu,carts_lat_90,payment_mem,False,True,True,False,False,False
user-cpu,3,8003,user_cpu,carts_lat_90,payment_mem,False,True,True,False,False,False
user-cpu,3,9003,user_cpu,carts_lat_90,shipping_lat_90,False,True,True,False,False,False
user-cpu,4,4,user_cpu,user_cpu,user-db_mem,True,True,True,False,False,False
user-cpu,4,1004,user_cpu,user_cpu,catalogue_lat_99,True,True,True,False,False,False
user-cpu,4,2004,user_cpu,user_cpu,carts_mem,True,True,True,False,False,False
user-cpu,4,3004,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,4,4004,user_cpu,user_cpu,catalogue_mem,True,True,True,False,False,False
user-cpu,4,5004,user_cpu,user_cpu,orders_mem,True,True,True,False,False,False
user-cpu,4,6004,user_cpu,user_cpu,payment_mem,True,True,True,False,False,False
user-cpu,4,7004,user_cpu,user_cpu,catalogue_lat_50,True,True,True,False,False,False
user-cpu,4,8004,user_cpu,user_cpu,carts_lat_50,True,True,True,False,False,False
user-cpu,4,9004,user_cpu,user_cpu,orders_mem,True,True,True,False,False,False
user-cpu,5,5,user_cpu,user_cpu,rabbitmq_mem,True,True,True,False,False,False
user-cpu,5,1005,user_cpu,user_cpu,shipping_lat_50,True,True,True,False,False,False
user-cpu,5,2005,user_cpu,user_cpu,carts_lod,True,True,True,False,False,False
user-cpu,5,3005,user_cpu,user_cpu,catalogue_lat_90,True,True,True,False,False,False
user-cpu,5,4005,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
user-cpu,5,5005,user_cpu,user_cpu,queue-master_mem,True,True,True,False,False,False
user-cpu,5,6005,user_cpu,user_cpu,shipping_mem,True,True,True,False,False,False
user-cpu,5,7005,user_cpu,user_cpu,shipping_lat_90,True,True,True,False,False,False
user-cpu,5,8005,user_cpu,user_cpu,user_mem,True,True,True,False,False,False
user-cpu,5,9005,user_cpu,user_cpu,catalogue_mem,True,True,True,False,False,False
