condition,fault_type,scenario,seed,true_rc,pred_H,pred_R,AC1_H,AC3_H,AC5_H,AC1_R,AC3_R,AC5_R
orders-cpu,cpu,1,5001,orders_cpu,orders_cpu,catalogue-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,6001,orders_cpu,orders_cpu,rabbitmq_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,7001,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,8001,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,9001,orders_cpu,orders_cpu,carts_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,2,orders_cpu,orders_cpu,queue-master_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,1002,orders_cpu,orders_cpu,front-end_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,2002,orders_cpu,orders_cpu,carts-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,3002,orders_cpu,orders_cpu,catalogue-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,4002,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,5002,orders_cpu,orders_cpu,rabbitmq_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,6002,orders_cpu,orders_cpu,user_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,7002,orders_cpu,orders_cpu,queue-master_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,8002,orders_cpu,orders_cpu,carts_cpu,True,True,True,False,False,False
orders-cpu,cpu,2,9002,orders_cpu,orders_cpu,front-end_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,3,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,1003,orders_cpu,orders_cpu,carts-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,2003,orders_cpu,orders_cpu,queue-master_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,3003,orders_cpu,orders_cpu,catalogue-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,4003,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,5003,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,6003,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,7003,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,8003,orders_cpu,orders_cpu,shipping_cpu,True,True,True,False,False,False
orders-cpu,cpu,3,9003,orders_cpu,orders_cpu,payment_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,4,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,1004,orders_cpu,orders_cpu,front-end_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,2004,orders_cpu,orders_cpu,rabbitmq_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,3004,orders_cpu,orders_cpu,catalogue-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,4004,orders_cpu,orders_cpu,orders-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,5004,orders_cpu,orders_cpu,front-end_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,6004,orders_cpu,orders_cpu,carts_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,7004,orders_cpu,orders_cpu,rabbitmq_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,8004,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,4,9004,orders_cpu,orders_cpu,orders-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,5,orders_cpu,orders_cpu,rabbitmq_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,1005,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,2005,orders_cpu,orders_cpu,catalogue-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,3005,orders_cpu,orders_cpu,payment_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,4005,orders_cpu,orders_cpu,orders-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,5005,orders_cpu,orders_cpu,user-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,6005,orders_cpu,orders_cpu,user_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,7005,orders_cpu,orders_cpu,carts_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,8005,orders_cpu,orders_cpu,user_cpu,True,True,True,False,False,False
orders-cpu,cpu,5,9005,orders_cpu,orders_cpu,orders-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,1,payment_cpu,payment_cpu,front-end_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,1001,payment_cpu,payment_cpu,catalogue_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,2001,payment_cpu,payment_cpu,carts_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,3001,payment_cpu,payment_cpu,carts_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,4001,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,5001,payment_cpu,payment_cpu,user-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,6001,payment_cpu,payment_cpu,catalogue-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,7001,payment_cpu,payment_cpu,rabbitmq_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,8001,payment_cpu,payment_cpu,orders_cpu,True,True,True,False,False,False
payment-cpu,cpu,1,9001,payment_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
payment-cpu,cpu,2,2,payment_cpu,payment_cpu,carts-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,1002,payment_cpu,payment_cpu,carts_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,2002,payment_cpu,payment_cpu,orders-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,3002,payment_cpu,payment_cpu,shipping_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,4002,payment_cpu,payment_cpu,orders_cpu,True,True,True,False,False,True
payment-cpu,cpu,2,5002,payment_cpu,payment_cpu,user_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,6002,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,7002,payment_cpu,payment_cpu,orders-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,8002,payment_cpu,payment_cpu,user-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,2,9002,payment_cpu,payment_cpu,orders_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,3,payment_cpu,payment_cpu,shipping_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,1003,payment_cpu,payment_cpu,carts_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,2003,payment_cpu,payment_cpu,orders-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,3003,payment_cpu,payment_cpu,catalogue-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,4003,payment_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
payment-cpu,cpu,3,5003,payment_cpu,payment_cpu,shipping_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,6003,payment_cpu,payment_cpu,carts_cpu,True,True,True,False,False,False
payment-cpu,cpu,3,7003,payment_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
payment-cpu,cpu,3,8003,payment_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
payment-cpu,cpu,3,9003,payment_cpu,payment_cpu,orders_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,4,payment_cpu,payment_cpu,carts-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,1004,payment_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
payment-cpu,cpu,4,2004,payment_cpu,carts-db_cpu,carts-db_cpu,False,True,True,False,False,False
payment-cpu,cpu,4,3004,payment_cpu,payment_cpu,catalogue_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,4004,payment_cpu,payment_cpu,user_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,5004,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,6004,payment_cpu,payment_cpu,carts_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,7004,payment_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
payment-cpu,cpu,4,8004,payment_cpu,payment_cpu,front-end_cpu,True,True,True,False,False,False
payment-cpu,cpu,4,9004,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,cpu,5,5,payment_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
payment-cpu,cpu,5,1005,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,cpu,5,2005,payment_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
payment-cpu,cpu,5,3005,payment_cpu,payment_cpu,carts-db_cpu,True,True,True,False,False,False
payment-cpu,cpu,5,4005,payment_cpu,carts-db_cpu,shipping_cpu,False,True,True,False,False,False
payment-cpu,cpu,5,5005,payment_cpu,payment_cpu,queue-master_cpu,True,True,True,False,False,False
payment-cpu,cpu,5,6005,payment_cpu,carts-db_cpu,user-db_cpu,False,True,True,False,False,False
payment-cpu,cpu,5,7005,payment_cpu,payment_cpu,catalogue_cpu,True,True,True,False,False,False
payment-cpu,cpu,5,8005,payment_cpu,carts-db_cpu,carts_cpu,False,True,True,False,False,False
payment-cpu,cpu,5,9005,payment_cpu,carts-db_cpu,catalogue_cpu,False,True,True,False,False,False
user-cpu,cpu,1,1,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,1,1001,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,1,2001,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,1,3001,user_cpu,user_cpu,front-end_cpu,True,True,True,False,False,False
user-cpu,cpu,1,4001,user_cpu,user_cpu,orders_cpu,True,True,True,False,False,False
user-cpu,cpu,1,5001,user_cpu,user_cpu,front-end_cpu,True,True,True,False,False,False
user-cpu,cpu,1,6001,user_cpu,user_cpu,rabbitmq_cpu,True,True,True,False,False,False
user-cpu,cpu,1,7001,user_cpu,user_cpu,orders_cpu,True,True,True,False,False,False
user-cpu,cpu,1,8001,user_cpu,user_cpu,carts_cpu,True,True,True,False,False,False
user-cpu,cpu,1,9001,user_cpu,user_cpu,orders-db_cpu,True,True,True,False,False,False
user-cpu,cpu,2,2,user_cpu,user_cpu,orders-db_cpu,True,True,True,False,False,False
user-cpu,cpu,2,1002,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
user-cpu,cpu,2,2002,user_cpu,user_cpu,rabbitmq_cpu,True,True,True,False,False,False
user-cpu,cpu,2,3002,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,2,4002,user_cpu,user_cpu,orders_cpu,True,True,True,False,False,False
user-cpu,cpu,2,5002,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,2,6002,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,2,7002,user_cpu,user_cpu,rabbitmq_cpu,True,True,True,False,False,False
user-cpu,cpu,2,8002,user_cpu,user_cpu,carts_cpu,True,True,True,False,False,False
user-cpu,cpu,2,9002,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,3,3,user_cpu,user_cpu,user-db_cpu,True,True,True,False,False,False
user-cpu,cpu,3,1003,user_cpu,user_cpu,catalogue_cpu,True,True,True,False,False,False
user-cpu,cpu,3,2003,user_cpu,user_cpu,shipping_cpu,True,True,True,False,False,False
user-cpu,cpu,3,3003,user_cpu,user_cpu,catalogue-db_cpu,True,True,True,False,False,False
user-cpu,cpu,3,4003,user_cpu,user_cpu,catalogue-db_cpu,True,True,True,False,False,False
user-cpu,cpu,3,5003,user_cpu,user_cpu,rabbitmq_cpu,True,True,True,False,False,False
user-cpu,cpu,3,6003,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,3,7003,user_cpu,user_cpu,shipping_cpu,True,True,True,False,False,False
user-cpu,cpu,3,8003,user_cpu,user_cpu,orders_cpu,True,True,True,False,False,False
user-cpu,cpu,3,9003,user_cpu,user_cpu,user-db_cpu,True,True,True,False,False,False
user-cpu,cpu,4,4,user_cpu,user_cpu,front-end_cpu,True,True,True,False,True,True
user-cpu,cpu,4,1004,user_cpu,user_cpu,front-end_cpu,True,True,True,False,False,False
user-cpu,cpu,4,2004,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,4,3004,user_cpu,user_cpu,rabbitmq_cpu,True,True,True,False,False,False
user-cpu,cpu,4,4004,user_cpu,user_cpu,orders_cpu,True,True,True,False,False,False
user-cpu,cpu,4,5004,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
user-cpu,cpu,4,6004,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,4,7004,user_cpu,user_cpu,carts_cpu,True,True,True,False,False,False
user-cpu,cpu,4,8004,user_cpu,user_cpu,rabbitmq_cpu,True,True,True,False,False,False
user-cpu,cpu,4,9004,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,5,5,user_cpu,user_cpu,orders_cpu,True,True,True,False,False,False
user-cpu,cpu,5,1005,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,5,2005,user_cpu,user_cpu,carts-db_cpu,True,True,True,False,False,False
user-cpu,cpu,5,3005,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
user-cpu,cpu,5,4005,user_cpu,user_cpu,payment_cpu,True,True,True,False,False,False
user-cpu,cpu,5,5005,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
user-cpu,cpu,5,6005,user_cpu,user_cpu,user-db_cpu,True,True,True,False,False,False
user-cpu,cpu,5,7005,user_cpu,user_cpu,catalogue_cpu,True,True,True,False,False,False
user-cpu,cpu,5,8005,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
user-cpu,cpu,5,9005,user_cpu,user_cpu,queue-master_cpu,True,True,True,False,False,False
carts-mem,mem,1,1,carts_mem,carts_mem,payment_mem,True,True,True,False,False,True
carts-mem,mem,1,1001,carts_mem,carts_mem,catalogue-db_mem,True,True,True,False,False,True
carts-mem,mem,1,2001,carts_mem,carts_mem,catalogue_mem,True,True,True,False,False,True
carts-mem,mem,1,3001,carts_mem,carts_mem,orders_mem,True,True,True,False,False,True
carts-mem,mem,1,4001,carts_mem,carts_mem,front-end_mem,True,True,True,False,False,True
carts-mem,mem,1,5001,carts_mem,carts_mem,front-end_mem,True,True,True,False,True,True
carts-mem,mem,1,6001,carts_mem,carts_mem,carts-db_mem,True,True,True,False,False,False
carts-mem,mem,1,7001,carts_mem,carts_mem,catalogue_mem,True,True,True,False,False,True
carts-mem,mem,1,8001,carts_mem,carts_mem,catalogue-db_mem,True,True,True,False,False,False
carts-mem,mem,1,9001,carts_mem,carts_mem,catalogue-db_mem,True,True,True,False,False,False
carts-mem,mem,2,2,carts_mem,carts_mem,carts-db_mem,True,True,True,False,False,False
carts-mem,mem,2,1002,carts_mem,carts_mem,carts-db_mem,True,True,True,False,False,False
carts-mem,mem,2,2002,carts_mem,carts_mem,catalogue_mem,True,True,True,False,False,False
carts-mem,mem,2,3002,carts_mem,carts_mem,orders_mem,True,True,True,False,False,False
carts-mem,mem,2,4002,carts_mem,carts_mem,catalogue_mem,True,True,True,False,False,False
carts-mem,mem,2,5002,carts_mem,carts_mem,orders-db_mem,True,True,True,False,False,False
carts-mem,mem,2,6002,carts_mem,carts_mem,queue-master_mem,True,True,True,False,False,False
carts-mem,mem,2,7002,carts_mem,carts_mem,orders-db_mem,True,True,True,False,False,False
carts-mem,mem,2,8002,carts_mem,carts_mem,queue-master_mem,True,True,True,False,False,False
carts-mem,mem,2,9002,carts_mem,carts_mem,carts-db_mem,True,True,True,False,False,False
carts-mem,mem,3,3,carts_mem,carts_mem,user_mem,True,True,True,False,False,True
